nome,eps
Danshi Koukousei no Nichijou,TV (12 eps)
Fanren Xiu Xian Chuan 3rd Season,ONA (48 eps)
IDOLiSH7 Third Beat!,TV (13 eps)
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV (13 eps)
Spy x Family Part 2,TV (13 eps)
Youjo Senki Movie,Movie (1 eps)
Kamisama Hajimemashita◎,TV (12 eps)
Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,TV (25 eps)
Kobayashi-san Chi no Maid Dragon S,TV (12 eps)
Majo no Takkyuubin,Movie (1 eps)
Mushoku Tensei II: Isekai Ittara Honki Dasu,TV (12 eps)
Re:Zero kara Hajimeru Isekai Seikatsu,TV (25 eps)
Kono Sekai no Katasumi ni,Movie (1 eps)
Liz to Aoi Tori,Movie (1 eps)
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Movie (1 eps)
Mimi wo Sumaseba,Movie (1 eps)
Nodame Cantabile Finale,TV (11 eps)
Shen Yin Wangzuo 2nd Season,ONA (? eps)
Shoujo Kakumei Utena,TV (39 eps)
Shoujo Shuumatsu Ryokou,TV (12 eps)
Trigun,TV (26 eps)
Wu Liuqi: Zui Qiang Fa Xing Shi,ONA (10 eps)
Yubisaki to Renren,TV (12 eps)
Tengoku Daimakyou,TV (13 eps)
Berserk: Ougon Jidai-hen III - Kourin,Movie (1 eps)
Blue Lock,TV (24 eps)
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie (1 eps)
Dr. Stone: Science Future,TV (12 eps)
Fruits Basket 1st Season,TV (25 eps)
Kaguya-hime no Monogatari,Movie (1 eps)
Major S1,TV (26 eps)
Major S3,TV (26 eps)
Ookami to Koushinryou,TV (13 eps)
Kimetsu no Yaiba: Katanakaji no Sato-hen,TV (11 eps)
Kuroko no Basket 2nd Season,TV (25 eps)
Magi: The Kingdom of Magic,TV (25 eps)
Meitantei Conan Movie 13: Shikkoku no Chaser,Movie (1 eps)
Quanzhi Gaoshou Specials,ONA (3 eps)
ReLIFE: Kanketsu-hen,Special (4 eps)
Saiki Kusuo no Ψ-nan: Kanketsu-hen,TV Special (1 eps)
Sasaki to Miyano,TV (12 eps)
SKET Dance,TV (77 eps)
Wu Liuqi: Anying Suming,ONA (10 eps)
xxxHOLiC◆Kei,TV (13 eps)
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV (13 eps)
Bungou Stray Dogs 3rd Season,TV (12 eps)
Cang Yuan Tu,ONA (26 eps)
Great Pretender,TV (23 eps)
InuYasha: Kanketsu-hen,TV (26 eps)
Asobi Asobase,TV (12 eps)
Dragon Ball Super: Broly,Movie (1 eps)
Dragon Ball Z,TV (291 eps)
Fate/strange Fake: Whispers of Dawn,TV Special (1 eps)
Horimiya,TV (13 eps)
